Model,State,Point,False_Positive_Rate,True_Positive_Rate,Threshold,State_AUROC
Equal Soft Voting,2,4,0.011976047904191617,0.4117647058823529,0.9426548951818876,0.9412645297640014
Equal Soft Voting,2,5,0.011976047904191617,0.4852941176470588,0.9325804475294474,0.9412645297640014
Equal Soft Voting,2,6,0.017964071856287425,0.4852941176470588,0.931384908869516,0.9412645297640014
Equal Soft Voting,2,7,0.017964071856287425,0.5147058823529411,0.9261945936389878,0.9412645297640014
Equal Soft Voting,2,8,0.023952095808383235,0.5147058823529411,0.9164376021739864,0.9412645297640014
Equal Soft Voting,2,9,0.023952095808383235,0.6323529411764706,0.8562208601568052,0.9412645297640014
Equal Soft Voting,2,10,0.029940119760479042,0.6323529411764706,0.8539812657673215,0.9412645297640014
Equal Soft Voting,2,11,0.029940119760479042,0.6470588235294118,0.8517240623848243,0.9412645297640014
Equal Soft Voting,2,12,0.03592814371257485,0.6470588235294118,0.8380640529998162,0.9412645297640014
Equal Soft Voting,2,13,0.03592814371257485,0.6911764705882353,0.7967496783586516,0.9412645297640014
Equal Soft Voting,2,14,0.04790419161676647,0.6911764705882353,0.7750515162216823,0.9412645297640014
Equal Soft Voting,2,15,0.04790419161676647,0.75,0.7093577577433603,0.9412645297640014
Equal Soft Voting,2,16,0.059880239520958084,0.75,0.688550336774501,0.9412645297640014
Equal Soft Voting,2,17,0.059880239520958084,0.7647058823529411,0.6729091444058652,0.9412645297640014
Equal Soft Voting,2,18,0.07784431137724551,0.7647058823529411,0.5554382006917875,0.9412645297640014
Equal Soft Voting,2,19,0.07784431137724551,0.7794117647058824,0.5459146830748581,0.9412645297640014
Equal Soft Voting,2,20,0.08383233532934131,0.7794117647058824,0.5420937929856272,0.9412645297640014
Equal Soft Voting,2,21,0.08383233532934131,0.7941176470588235,0.4731483018214025,0.9412645297640014
Equal Soft Voting,2,22,0.08982035928143713,0.7941176470588235,0.4658520331418153,0.9412645297640014
Equal Soft Voting,2,23,0.08982035928143713,0.8088235294117647,0.4635803046978007,0.9412645297640014
Equal Soft Voting,2,24,0.11976047904191617,0.8088235294117647,0.3635368077837602,0.9412645297640014
Equal Soft Voting,2,25,0.11976047904191617,0.8235294117647058,0.3533999193774397,0.9412645297640014
Equal Soft Voting,2,26,0.1317365269461078,0.8235294117647058,0.3223826635529195,0.9412645297640014
Equal Soft Voting,2,27,0.1317365269461078,0.8382352941176471,0.3205824975889584,0.9412645297640014
Equal Soft Voting,2,28,0.1437125748502994,0.8382352941176471,0.2731336867200482,0.9412645297640014
Equal Soft Voting,2,29,0.1437125748502994,0.8529411764705882,0.2683720495584474,0.9412645297640014
Equal Soft Voting,2,30,0.1497005988023952,0.8529411764705882,0.2657705122543408,0.9412645297640014
Equal Soft Voting,2,31,0.1497005988023952,0.8676470588235294,0.264631454299335,0.9412645297640014
Equal Soft Voting,2,32,0.15568862275449102,0.8676470588235294,0.2597556537957171,0.9412645297640014
Equal Soft Voting,2,33,0.15568862275449102,0.8823529411764706,0.2569066397810917,0.9412645297640014
