Model,State,Threshold,TP,FN,FP,TN,Sensitivity,Specificity,Precision,F1,Youden_J,Predicted_Positive_Rate
CatBoost,2,0.48000000000000004,54,14,15,152,0.7941176470588235,0.9101796407185628,0.782608695652174,0.7883211678832117,0.7042972877773863,0.2936170212765957
CatBoost,2,0.49,53,15,15,152,0.7794117647058824,0.9101796407185628,0.7794117647058824,0.7794117647058824,0.6895914054244452,0.28936170212765955
CatBoost,2,0.5,53,15,15,152,0.7794117647058824,0.9101796407185628,0.7794117647058824,0.7794117647058824,0.6895914054244452,0.28936170212765955
CatBoost,2,0.51,53,15,14,153,0.7794117647058824,0.9161676646706587,0.7910447761194029,0.7851851851851852,0.6955794293765409,0.2851063829787234
CatBoost,2,0.52,52,16,14,153,0.7647058823529411,0.9161676646706587,0.7878787878787878,0.7761194029850745,0.6808735470235998,0.28085106382978725
CatBoost,2,0.53,52,16,14,153,0.7647058823529411,0.9161676646706587,0.7878787878787878,0.7761194029850745,0.6808735470235998,0.28085106382978725
CatBoost,2,0.54,52,16,14,153,0.7647058823529411,0.9161676646706587,0.7878787878787878,0.7761194029850745,0.6808735470235998,0.28085106382978725
CatBoost,2,0.55,51,17,12,155,0.75,0.9281437125748503,0.8095238095238095,0.7786259541984734,0.6781437125748502,0.2680851063829787
CatBoost,2,0.56,51,17,12,155,0.75,0.9281437125748503,0.8095238095238095,0.7786259541984734,0.6781437125748502,0.2680851063829787
CatBoost,2,0.5700000000000001,50,18,12,155,0.7352941176470589,0.9281437125748503,0.8064516129032258,0.7692307692307693,0.663437830221909,0.26382978723404255
CatBoost,2,0.5800000000000001,50,18,11,156,0.7352941176470589,0.9341317365269461,0.819672131147541,0.7751937984496124,0.669425854174005,0.25957446808510637
CatBoost,2,0.59,50,18,10,157,0.7352941176470589,0.9401197604790419,0.8333333333333334,0.78125,0.6754138781261008,0.2553191489361702
CatBoost,2,0.6,49,19,10,157,0.7205882352941176,0.9401197604790419,0.8305084745762712,0.7716535433070865,0.6607079957731594,0.251063829787234
CatBoost,2,0.61,49,19,10,157,0.7205882352941176,0.9401197604790419,0.8305084745762712,0.7716535433070865,0.6607079957731594,0.251063829787234
